dallas,100006
new-england,100017
buffalo,100002
miami,100015
new-orleans,100018
tampa-bay,100027
indianapolis,100011
denver,100007
arizona,100022
kansas-city,100012
tennessee,100010
la-rams,100014
philadelphia,100021
pittsburgh,100023
cleveland,100005
san-francisco,100025
green-bay,100009
minnesota,100016
cincinnati,100004
chicago,100003
seattle,100026
baltimore,100033
carolina,100029
washington,100028
ny-giants,100019
la-chargers,100024
houston,100034
las-vegas,100013
detroit,100008
atlanta,100001
jacksonville,100030
ny-jets,100020
